Initiator,Recipient
43016,36766
36228,35253
41778,37653
36722,42066
37150,41162
36722,42901
41778,41579
40933,41162
41222,36602
41945,41999
42911,37451
41050,37451
41050,36722
41749,36722
41749,42901
36722,42901
41070,37050
43055,41162
41222,41945
41903,41204
41050,41204
41070,42429
41070,37050
41579,41778
41162,43055
40933,43055
41778,41579
39869,37663
36228,36831
37653,40109
40933,37150
41050,40109
37050,42429
41824,42066
37430,42066
36722,42901
37585,42148
37389,42148
40109,37653
41999,42869
40436,41222
41070,37056
37585,37430
42384,42469
36446,37389
37050,37653
36228,39847
42602,43055
37050,42429
41222,41945
36602,41945
37749,37451
40021,39869
37389,37663
41579,37050
40933,41162
42602,43055
35945,41070
41824,37663
41070,37050
36602,42869
36722,42901
36766,43016
41999,42869
41999,41945
36722,43016
42901,43016
41579,41070
37050,41070
40170,40021
41945,41999
40436,40099
37749,42469
42602,37663
42602,43055
42869,41999
43055,41162
42911,37451
42911,42969
43055,42602
41162,42602
41162,43055
37150,40933
42602,36228
43016,36766
41858,41204
42901,36722
37056,41903
41999,35991
37749,42469
42066,40170
42429,37050
42622,43016
41945,41999
40099,42869
41165,42869
43055,41162
41222,40436
41778,41579
41858,41204
36722,41749
41026,41749
42969,35991
42901,36722
43016,36766
40170,43016
41222,42869
35545,40100
36722,41749
37279,42066
41999,36602
41579,41749
41050,42469
41903,41061
39869,36766
43055,41162
42911,37451
40436,41222
41070,41579
42602,43055
41162,43055
37430,40109
41061,37056
37430,40021
41050,37749
41070,37653
36602,42869
40099,39869
37056,41061
42901,36722
36446,42106
37150,41162
37161,41070
36228,42622
41139,41301
42429,37050
41070,42429
41070,37050
37389,37050
36228,42622
37430,37050
40448,37585
41858,35545
37389,41824
36831,42148
37050,40100
36446,42106
41162,42602
41749,42901
35545,40342
42066,42469
42429,41070
37050,41070
41162,40933
37430,40109
41749,42148
41778,41579
40436,40099
42384,37161
40933,41162
41222,41945
43016,36228
42911,37451
41061,41903
37150,41139
37050,42429
43055,36228
40933,41162
41139,41749
41903,37056
42602,41222
37050,41070
42066,41070
37653,41778
37389,40962
37150,40170
37451,42911
37430,41139
42622,39870
37056,41061
37585,37389
37585,42148
41999,36602
43055,40109
37050,41070
41222,40436
42901,36722
41903,37056
39870,37150
41999,36602
37451,42911
42901,36722
40109,43055
42066,36722
36766,43016
37050,42066
42066,41204
41050,41139
40100,41579
41579,41070
36602,42869
40100,41579
40021,41903
37050,42429
43055,37663
36228,37389
36722,37389
41749,41026
36228,42622
37451,42911
41579,41778
36446,42106
41778,41579
40933,37056
40933,41061
41903,41061
36446,42106
40109,37451
42911,35545
36766,43016
42106,41824
36602,41999
36722,42901
37150,40170
42106,41824
41999,36602
37663,40448
41070,37050
41579,41778
36722,42901
37663,41026
43016,37451
37161,42384
35945,37430
37389,40962
41858,42469
41749,42901
41070,40100
40342,41858
41749,41070
42622,41824
42622,39869
39869,37056
37056,35991
41222,40436
39870,39847
37653,40109
41165,41999
41999,42869
42602,43055
40100,41070
37477,41778
41301,37430
40109,37430
37451,42911
37050,37150
40170,37150
36831,41945
40100,40342
36228,37749
41204,37050
40170,42622
42622,37389
37749,36228
43055,37430
40109,37430
42066,41824
41749,41579
37050,42430
42430,39242
42429,41070
42148,42969
36766,37161
41858,35545
43055,37663
41999,41945
37585,37389
41778,41579
39869,36722
37430,37050
41050,37749
37585,42469
42469,37749
36602,40099
42602,43055
41778,41749
41749,42901
37653,39242
41903,37056
37056,39869
39869,37279
37451,42911
41778,41579
39847,42430
42106,36446
40933,41061
37056,41824
41162,42602
36722,39870
37050,41070
42911,41945
41749,36722
41824,37749
42469,41824
37653,37389
37653,37389
41061,41903
41061,41903
39847,36228
41204,41903
36766,43016
43016,41824
41139,42911
42911,37451
39869,41903
41749,42901
43055,37161
40109,41139
41999,40100
42602,41162
37389,37150
37150,37056
37056,41903
42911,37451
37663,43055
43055,37389
36446,37150
42066,41824
42911,42622
41999,36602
37050,42429
36766,43016
42066,37056
42429,37050
37161,36722
37150,37585
42602,40170
36766,35545
36722,42901
41162,42602
42066,39869
39870,41204
43055,41162
35991,37585
42384,37663
37161,43055
41945,41999
42429,37050
41858,42148
36722,42901
40021,39869
39869,41204
41824,43016
36766,43016
37150,40933
37663,43055
41165,39847
42429,41070
36446,42106
37749,42384
42469,40170
36722,42901
36722,39870
42430,36766
36766,43016
41824,43016
41903,41204
35991,42969
42969,40109
42622,36228
37663,43055
37430,40109
42066,41204
37389,40962
37389,37150
40962,37150
42066,36446
41301,39870
37050,40100
39242,37451
35253,39869
37749,42469
36602,41222
36228,37150
42429,41070
36722,42901
37389,36446
37477,42106
37749,42469
42066,43016
41999,41945
41945,42384
36766,43016
40436,40099
42066,40109
36831,42430
36831,41301
41579,41778
36446,41999
41999,42384
37150,42106
37050,42429
42911,41050
37056,41903
39869,41903
41222,41061
40436,40099
40021,37150
40933,37150
40933,40021
42602,41162
40170,37585
40933,41070
37663,41162
37056,41903
42622,41903
37451,42911
42384,37161
39869,41061
37430,41050
40099,40436
36722,42901
41778,41579
37389,36446
37451,42911
39869,41824
40109,41139
42469,37749
39869,37389
37749,42469
41061,39242
41070,37050
41301,39847
40962,37389
41050,42469
41945,41999
37430,41139
40109,42066
36722,41026
42622,37389
37451,42911
41050,37279
42106,42148
40342,41222
41204,39869
40933,41061
36831,42430
40170,36228
37161,35945
42969,36766
41050,42148
42148,37585
41858,35545
42622,36228
40342,41858
36602,42869
37451,37056
36446,42106
41903,41061
36228,41824
41061,41903
41749,42901
36722,42901
36722,41749
41050,37056
36228,36831
41139,43055
42429,37050
40436,41222
36722,41824
41204,41824
36831,42430
42430,36766
43016,36766
43016,40962
36766,40962
40099,41165
41139,41301
36228,42602
41026,41749
41579,41070
41204,39869
41999,41945
39242,35545
42430,36831
42911,37451
37663,43055
41903,40021
41050,37279
35545,42911
36831,41858
40342,41858
35545,41858
42066,41050
37161,43055
41204,41061
41061,39869
39869,36722
42901,36722
41858,41824
41858,35545
37050,41070
40109,39847
43055,40962
36228,42622
37477,41778
37430,43055
37451,42911
37451,41050
39242,40099
37150,41061
43055,37663
42066,42106
37430,41824
41945,41222
37749,41050
40170,37150
41222,41945
35545,39242
41824,42430
41749,42066
36766,43016
42430,41824
36228,42602
37585,42148
37150,40170
41070,37050
41778,41579
41050,42469
42066,42969
37451,42969
40436,40099
42106,36446
41061,39869
37056,39869
42901,36722
37663,42602
41204,41222
41070,40962
37050,41070
41749,39870
42384,43055
37161,43055
37451,42969
41061,40436
37430,41204
39847,41139
37663,39869
42106,36446
41858,42148
37585,42148
41858,40342
37451,41026
42911,42969
42901,41026
42911,42901
37430,39847
37663,43055
36766,43016
37050,42429
41945,36602
36228,42384
40436,40099
41945,41999
36766,43016
37279,40109
41026,39870
41749,39870
41749,41026
36722,42901
41222,40436
37050,42429
36602,40100
36831,42430
41070,41579
42911,37451
37430,37451
36766,43016
40109,37279
41999,42869
40109,43055
40099,39847
41778,41579
37451,42911
39870,42901
37279,41050
37749,42469
43055,42602
40099,41165
36602,41945
39869,41061
36766,37663
41858,35545
39242,35545
40436,41222
37451,42911
39242,37430
40962,42430
41222,40436
41061,41070
36766,42106
41999,36602
43055,42602
37050,41222
37056,37430
37653,37161
35545,40100
40342,40100
37279,39242
41579,41026
42066,40962
35545,41858
37749,42469
36766,43016
42911,40100
37161,37749
37389,37451
40962,37161
43016,36766
43016,36228
37749,37451
37749,42911
39870,36722
42911,37451
37050,37279
37653,35545
37430,35991
42066,43016
37150,40021
36766,43016
42911,40100
42469,37749
41026,42901
40109,37389
37050,41070
36228,42430
37451,41050
35991,36228
35991,37056
36831,37161
43055,37663
41824,36228
43055,37663
41026,40436
42622,42066
40933,37150
36228,41824
36228,37653
37150,37663
41903,37056
36722,41061
40109,37477
36602,41999
36722,41579
42911,37451
42430,37585
41778,41579
37056,41903
37663,41162
43055,42384
36446,42106
37389,37663
37150,39869
40933,37150
37050,42429
37056,41903
37430,37161
41061,40933
36722,42901
37056,41903
41824,41204
43016,36766
37150,41162
40170,41162
41070,42429
37050,42429
36722,42901
37451,42911
42602,43055
41061,43055
41070,37050
42901,36722
41050,40109
42469,37749
42901,36722
42602,36228
36228,37150
41749,36722
41026,36722
42901,36722
42430,36228
42622,40170
42622,37150
40170,37150
37279,36831
36602,41999
37451,42911
37749,41858
42901,36722
36722,42901
35253,36228
37389,42622
42429,41070
41162,37150
40021,37056
37050,42429
43055,42602
41858,37477
41070,37050
40342,41858
40170,40109
41903,41061
41165,41222
36446,42106
36766,43016
41778,41579
41139,41579
42066,40962
41999,42869
36766,43016
40342,41858
42469,37749
41162,43055
40962,37451
37653,37389
37749,40109
40342,35545
42602,36228
42602,41824
35253,39869
41050,37585
37430,40170
37056,41061
37430,37150
37050,42429
37050,41204
36228,41824
36766,43016
36766,37663
43016,37663
36602,41999
41026,42901
37056,41903
41749,41204
37430,43055
