Initiator,Recipient
37389,36228
37749,42469
36831,35945
35545,37389
42469,41050
37161,42384
37663,41162
37161,42384
37585,42066
42901,36722
36446,42106
37663,36766
36602,37749
42148,40021
41903,41061
42911,37451
43055,40448
41026,41579
37389,36831
35545,37585
40170,36228
41301,35945
40962,37389
36446,42066
37663,35253
37430,36228
42622,40962
42430,40962
41301,35945
36228,42622
40933,39847
35545,41858
37150,41162
40170,41162
40100,41070
36446,42106
37749,42469
37451,42911
36722,40170
37585,42148
37451,37161
41139,42602
37050,42911
41778,41579
41858,41945
35945,37430
36228,35253
37477,37585
35545,41204
41945,41999
40962,42602
41050,37389
41222,36602
41050,40962
37451,37451
37056,40962
40170,41162
43055,41026
37663,35253
42106,36446
41222,41945
37653,39870
37150,41903
40109,42602
40962,36228
36228,42602
42911,40109
36602,41165
35545,40342
35945,37451
36446,42106
42066,36766
39869,40099
42148,39242
36722,36766
37585,41204
37451,42911
42622,37653
37663,36766
37150,36228
40170,36228
41061,41204
43055,40099
37451,42911
37451,42911
42622,40962
36446,42106
36831,42430
41301,42430
35945,42869
41050,37749
41903,41061
35253,37451
42106,36446
37161,42384
37663,35991
37056,35253
35545,39242
41139,41165
37161,42384
39870,36831
35545,39242
41050,37749
41139,35945
35253,42602
41903,41162
37451,42911
41139,35945
40109,36722
42901,40109
36766,42602
37653,41050
36766,36228
37749,36228
37050,42429
37585,37161
40933,37150
40100,37451
39870,42148
35545,40342
37585,40342
42430,36831
42429,37161
37663,35945
36446,42106
40170,40962
42622,40962
37389,36228
40933,39869
42602,36228
36766,43016
42869,36602
37056,41050
36722,41050
41858,37477
43055,42602
42469,37749
42106,36446
39847,36228
35945,42869
37430,41139
39847,37389
36831,37389
40021,37585
42148,37585
40170,37430
40933,39869
37663,41162
40436,41222
41139,36228
36602,41945
40021,37050
41050,37749
37430,37161
37585,37161
37663,42622
42106,36446
40342,39242
35545,40933
36446,35945
42148,41824
35253,37451
40021,36722
40109,36722
35545,40342
37430,39242
41903,41061
41858,41139
40099,36831
42384,37161
36446,37451
35545,37389
36602,40099
37050,36722
40170,37585
41162,37150
41050,37279
36766,42602
37451,42911
37663,37389
41165,40436
40109,39847
36228,35253
42106,42148
36602,41999
41999,41858
39847,37585
41579,40342
35545,40342
37585,36831
41162,37150
40436,41945
43055,42602
36446,42106
41026,42901
36602,41999
35945,42869
42106,36446
35545,40342
37749,42469
36228,35253
36831,35945
43055,35253
36446,36766
36831,42430
39847,42430
42901,36722
42622,40962
40021,37749
40099,40436
41858,40342
41222,41945
41301,35945
41050,37749
42469,37749
35545,41858
40962,43055
40962,37451
42911,40109
37050,41204
42469,37389
41749,36722
42901,36722
35545,41858
41139,41824
37050,37653
41162,40933
41165,40099
37451,42911
41778,35991
41070,37050
40021,41061
37749,42469
37150,41162
42969,40099
41026,42901
36766,43016
36446,42106
40962,37389
42429,37050
40099,36831
42066,36766
36602,41999
37050,36831
36602,42869
36722,42901
40436,35991
41070,36722
41749,36722
37663,36228
41061,40021
35545,37451
37056,42066
36722,37389
42469,40109
41301,37451
36831,43016
37050,41070
37430,41139
37653,36831
39847,36722
41945,41222
36446,35991
37389,40962
41061,35253
36228,37585
