Initiator,Recipient
41903,42066
35545,41858
36722,42901
42622,36766
36446,39242
42106,36446
40342,35545
35545,40100
40342,40100
37389,41070
40448,39847
37161,42384
40170,40933
40021,41903
36831,40933
41903,41061
37150,40170
42469,37749
41050,40962
37161,43055
41301,43055
42430,39847
41301,40342
41026,41749
39869,40099
35545,40100
36228,37150
37585,41301
37477,37585
37451,42911
36446,42106
35545,40342
35253,37430
39870,36228
41162,40933
40021,40933
36602,41999
40342,35545
37050,41070
35545,40342
39869,37663
37430,41139
36722,39870
42106,37477
37279,41050
41162,37663
42622,40962
40962,36228
40109,37150
35253,37050
36722,42901
42901,41749
37663,35545
41222,40342
40933,40021
35253,36602
42469,37749
41749,37749
36446,42106
36446,42106
37451,42911
37451,41858
37585,40100
41903,39869
40021,39869
41139,35945
43055,36228
40962,36228
37749,42469
42622,40962
42066,40962
35945,42869
42430,42430
40099,40109
37430,39869
43016,41824
37430,41824
37749,42469
41749,41050
41165,40099
40109,36228
37279,41050
35545,40100
42469,37749
37585,40342
41204,37279
37663,36228
42622,40933
37161,42384
37389,40021
37749,42469
42911,40100
36766,41824
43016,41824
37451,42911
37389,41824
43016,41824
42622,41824
36446,42106
40099,39869
39870,41070
42622,40933
42901,36228
36722,36228
41162,35253
39870,37451
40962,37389
41162,35253
36446,41824
42148,37653
36602,41999
41165,39847
37749,37585
40436,41165
36766,43016
40436,40099
36446,42106
37430,35945
35545,40342
43016,37749
41301,42430
40099,36602
37585,42148
42106,36446
37451,36228
40933,40021
40021,40170
35545,41858
35945,42869
42430,42384
36831,41301
36446,36228
36602,41999
37663,35253
40933,37056
41222,40436
37430,40109
41301,37389
40170,37150
37451,42911
42148,37585
41778,39870
41778,39870
37451,42911
40933,37056
40342,36831
42430,36831
36446,42106
40962,42602
41139,42622
37161,42384
40099,42969
37451,42911
37585,42148
42869,40099
40933,39847
42106,37477
37389,35253
36446,42106
41222,41204
37663,37749
42106,37477
36831,40342
37451,37279
41162,37150
37389,36831
43055,42384
42622,40962
42430,40962
37056,40021
40021,42066
35545,39242
40021,40933
42148,41301
39869,35545
37451,42911
41026,36722
37663,41162
42430,37585
42148,37585
40342,41858
37477,42106
36446,35945
40099,39869
40170,41903
37430,37663
36228,42602
36446,35945
37451,40100
42869,36602
40099,41222
42469,37389
40109,43055
42622,40933
37477,40342
37161,35945
41824,36831
36722,36831
41061,36766
37451,42911
42622,37389
40933,40170
37430,39242
36722,40962
42429,37050
42066,37050
35253,37050
37050,40109
40099,36831
42969,36766
35945,37389
37749,37663
43055,37663
42469,37663
36446,42106
41165,36831
41162,36228
42148,36228
39847,42430
37050,41222
37430,41204
41749,41026
35945,37050
41204,36228
39870,41824
36722,41824
42106,41903
37451,42911
35545,40100
37749,42469
37663,37585
39242,41061
40962,36228
36722,42901
40962,37389
37451,42911
37451,42911
