Initiator,Recipient
36003,38908
40757,38908
36518,41784
41627,35281
40564,36892
39999,38891
36892,41863
40628,40026
40564,41173
36182,39874
41084,36605
40025,40026
41784,36182
41217,40026
40207,36420
41685,36420
36341,42131
36973,36504
36011,40207
38908,40207
40628,36828
40627,36518
41225,36182
42080,36182
36003,41243
36828,35510
36011,38908
36449,41838
39643,40792
42080,36501
35421,40769
39843,40769
41863,36892
40564,41838
40025,40207
36605,38809
41173,36657
40625,36379
36394,36420
41721,40628
39111,38809
40025,40026
41880,36114
36003,36114
36003,36369
41243,36369
40769,35510
40025,39843
41225,39874
36406,36828
35281,36504
36657,38891
40889,39874
36449,40667
36504,39753
42131,36341
41627,36406
40769,40769
35694,36011
42131,36341
36114,40941
39643,35510
40628,36828
41225,39874
36504,39967
36473,38809
39110,40889
41785,35421
36501,36892
40768,36420
39999,36394
36374,40792
36369,41705
36861,40902
36828,40627
40627,36518
39111,39668
42131,36341
40536,40757
40638,36420
41880,36114
41225,39874
36420,40768
36196,35510
39243,36828
41784,36518
36182,41225
36114,39753
36369,41705
36341,35281
36374,40792
40026,40025
39800,39643
40564,41838
41838,41838
41930,41627
36504,40626
40888,36182
40025,40207
40123,36605
39111,36003
41930,39643
36473,36828
41225,39874
36003,36114
36341,42131
36369,35510
39843,35510
39753,36657
39874,40889
36196,36828
39243,36828
39110,40769
40026,40769
36892,41863
40769,41785
36341,35281
40536,39967
41705,39800
40025,40026
36308,36415
36518,41784
39967,36473
40792,40625
39967,39243
40207,39843
36518,36196
36011,36420
41863,36892
40800,36501
39110,39873
36369,41705
41785,36973
39753,36449
40599,36473
36892,36828
36501,36828
39687,40207
39110,36605
36861,40902
35281,36374
36449,40667
36501,36828
41721,36828
36308,39843
36973,36504
36285,35510
40599,36285
40123,40536
40800,36501
40599,36285
36308,36415
39843,36011
40757,40207
39110,39643
40628,36828
40599,36285
39753,41880
36892,40902
36449,40888
40599,36285
36394,36449
40074,36518
39999,40026
38686,39643
39110,39643
36374,36003
36114,39753
40757,36420
40074,36518
41084,36504
39687,39873
36473,36285
41838,36449
41173,41705
36861,40902
41784,41225
40628,41627
36605,35694
36473,40536
40638,40536
41537,36379
36374,40792
36308,40625
40026,38686
40564,41173
41721,40628
40800,36501
36341,42131
39999,38993
40889,38686
41930,38908
42131,41084
35694,35281
40627,36518
41880,36114
36501,36828
40889,40768
41784,40768
40026,36374
41930,40757
36285,40599
39843,35510
40769,35510
40123,39753
36892,41863
41863,36828
35692,36828
41173,36828
40628,36828
36501,36473
40074,36473
41173,36449
40626,40123
40902,36861
39753,36003
39999,41705
39110,39643
36504,41173
41173,35694
36182,41225
38686,36828
36861,35281
39999,35281
41880,36114
35421,36003
36182,42080
39643,40769
35421,36511
