Initiator,Recipient
37663,42106
42901,36722
42469,37749
41050,41204
43055,41162
36228,41050
36722,37056
41070,37056
39869,41301
42602,43055
40099,42869
41858,35545
35545,37585
36722,42901
40170,37150
40436,41165
37056,36766
42869,36602
36831,42869
42469,37749
42622,40933
36602,41999
37749,42469
40099,40436
36722,41061
43055,37663
42602,43055
42602,37663
41903,41061
41070,37050
41824,36228
42622,40933
37430,37663
37663,37389
41778,42602
41026,36722
40962,42622
41061,37056
37150,40933
42148,37585
37056,41903
41824,42622
36766,43016
43016,42430
41026,42901
42430,37585
41301,42430
42969,37451
42148,37585
40100,40342
41858,37585
37050,42429
42429,40100
37279,42066
42430,36228
41070,40100
40100,41026
43055,37663
37389,40962
41903,40021
42384,37161
36766,43016
42066,43016
41824,42066
41824,43016
36766,41824
41301,42430
36446,42106
40170,42622
43016,37451
42901,36722
40436,41222
40099,40436
41749,41778
42384,43055
42602,35253
36766,37749
36602,41165
41903,37150
39870,37279
36722,37056
41204,42430
40099,40436
41824,41204
36766,42602
37430,40109
37749,42469
40436,40099
36446,41050
42911,40100
41026,41749
41749,42901
42901,36722
36722,39870
39870,37389
41903,41061
37653,37663
37663,41204
42106,36228
42622,41824
42430,41824
42911,40100
36831,41301
41139,37430
42148,37585
36722,39870
42469,42066
41778,41579
41162,37150
36722,39870
40109,37653
41903,40109
43055,41162
42106,42602
36602,41999
42469,37749
42602,40962
42384,40100
36602,41999
42148,39242
43055,40109
40109,39870
35545,39242
37477,42430
42430,39847
42901,40962
40342,37477
37451,40170
40100,42384
36602,41999
42869,41999
42148,41858
42602,43016
42602,36766
36766,43016
42066,40962
36446,37150
42430,36228
40021,41204
36722,41061
37663,42602
41070,37050
42911,42066
42066,37279
42106,41903
39242,37585
42901,41749
37430,41139
42066,41139
41824,39870
40933,37056
41162,40933
37389,40109
37150,39847
35545,41858
42622,41824
40099,39869
36766,43016
43016,37663
40100,41070
36446,43055
42429,41070
37050,41070
37279,39869
41903,41061
37663,42430
41070,42429
37050,42429
40436,40099
37430,40109
37389,41061
42066,40962
37161,42384
42622,43016
36766,43016
42869,39242
36831,37585
39870,36722
36722,42901
37056,41903
39847,41903
36228,42469
37430,40109
40933,40962
42901,40962
41858,41999
37389,42602
40436,41222
42911,37451
37653,42430
36831,37585
40962,40933
41070,41061
41824,40170
41204,40170
37430,40109
42429,37050
37056,42066
41026,36722
41204,40448
36602,41999
42622,36228
42430,36228
35545,41858
37279,37056
37749,42469
42148,37585
37451,42911
36228,42602
36766,42602
43016,42622
43016,42602
37050,42429
37389,37050
42384,43055
37477,40109
37451,42911
37161,41824
36228,40962
42969,37451
41749,36722
37050,42429
37050,41579
36722,42901
37050,41070
37050,42429
37477,37653
37749,42469
37150,41061
43055,42384
42066,41061
36831,40448
41026,36722
42901,36722
36722,41749
37050,41204
35253,37451
39870,37653
37653,39869
43055,37663
42384,37161
36766,37056
41824,42066
41824,43016
42066,43016
41903,41061
37653,37585
40100,36831
39869,37150
37056,42429
39847,40448
42066,43055
37749,42469
37663,40962
40436,41222
41778,41579
41903,39869
36228,42602
39869,37056
35545,37150
39242,37150
37389,41824
42602,43055
42469,37451
42066,43016
40962,43016
41824,36228
39870,42901
36722,42901
36722,41749
41579,41162
37451,42911
37430,42911
36831,42430
40448,42901
41903,40021
42066,35253
37663,43055
40933,41061
42430,41824
37451,42384
37451,42969
37150,40021
37663,41061
43055,41222
37653,41749
37050,37430
40448,41204
37056,40021
42066,42911
37451,37389
41824,37389
42911,37451
36766,43016
37389,37749
37749,37663
41061,39869
37150,39869
37585,42148
40962,37663
42911,37451
42911,42969
42066,42430
42429,37050
36766,43016
36766,41824
42066,41204
41824,41204
42066,41824
37056,40109
40170,37150
41301,42430
41749,42901
42384,43055
42602,43055
39242,40342
41204,42430
37585,40100
42901,36722
42106,36446
39847,40109
41749,39870
37150,41824
41061,41903
39869,39242
42384,43055
42602,43055
40342,41858
40933,40021
37056,42066
37279,36766
37749,35253
39847,41165
36602,40099
43016,36766
41070,41061
40170,39870
42622,40933
42429,37050
41222,40099
42066,37389
41301,37430
37430,41824
41824,37430
36446,39242
37451,42911
42066,41204
36602,41999
37663,43055
37050,42429
40100,37050
42429,41070
41903,39869
41999,36602
37430,42602
43055,40109
37430,42602
35545,41858
40448,41858
35545,40342
36766,42602
37056,41903
41222,42148
41903,41061
36722,41749
42901,41749
42066,41139
41050,41139
41050,40962
42430,40962
42430,37389
36831,40933
37749,42469
37150,42602
36228,36766
42602,42911
37663,43055
41162,43055
37050,42429
41061,39869
35545,41858
41222,40436
37430,41139
41139,41824
41824,36766
43016,36766
42602,36228
41824,42969
41139,42969
37056,41903
42901,36722
36602,37663
41301,36831
39847,42430
36766,43016
37150,40933
40448,43055
41026,36722
37150,41162
41162,37056
42066,37056
43055,40448
37477,42148
41222,41945
37150,40933
37430,37653
36446,42106
37451,42911
40342,41858
35545,41858
42429,37050
41579,41070
41050,37749
35253,36228
42602,43055
37451,42911
37451,37279
40109,37279
40448,41222
37279,40109
37749,42469
36446,42066
42106,42066
42106,41204
37050,41070
40448,39847
43055,42384
41824,43016
41858,35545
37430,43016
43016,41824
43055,37663
37585,42148
43055,37663
40448,39242
37749,42911
42066,41204
40342,41858
40448,39847
41579,41070
41579,41778
41070,41778
41050,37056
42066,41204
42066,41204
42066,41204
37430,37150
37430,37150
37430,37150
39869,37056
39869,37056
39869,37056
37451,41204
37451,41204
37451,41204
42622,41824
42622,41824
42622,41824
37056,41061
37056,41061
37056,41061
41070,37050
41070,37050
41070,37050
42429,41070
42429,41070
42429,41070
41824,40962
41824,40962
41824,40962
37389,42066
37389,42066
37389,42066
37389,43016
37389,43016
37389,43016
36766,43016
36766,43016
36766,43016
37161,42384
37161,42384
37161,42384
41903,41061
41903,41061
41903,41061
37451,42911
37451,42911
37451,42911
41824,41301
41824,41301
41824,41301
37749,42469
37749,42469
37749,42469
37050,42429
37050,42429
37050,42429
37585,42148
37585,42148
37585,42148
41162,42148
41162,42148
41162,42148
41778,41579
41778,41579
41778,41579
41749,39870
41749,39870
41749,39870
42901,39870
42901,39870
42901,39870
41903,40021
41903,40021
41903,40021
37585,42148
37585,42148
37585,42148
41162,42148
41162,42148
41162,42148
41858,40448
41858,40448
41858,40448
